point,width,curvature,angle,x,y,apps,brake,steering_position
1125,5,0.00371961246419697,3.14667302178051,301.434148550508,84.6440212818052,3.65355348090656,-0,1.57414506074785
1130,5,0.000335411803941749,3.15681058245086,306.434006234304,84.6566895439249,8.67354490603653,-0,0.251325935620381
1135,5,-0.00137239318518346,3.15421812899775,311.433313266799,84.5758157323574,16.7161255696982,-0,-0.490576756914824
1140,5,-0.00116968745920255,3.14786292738679,316.43194328683,84.458798377035,19.2699921419999,-0,-0.443769553216306
1145,5,-1.04886071671291e-05,3.14491248722086,321.430844811253,84.3541855540297,21.4277858693497,-0,0.056404729071266
1150,5,0.000611241940301558,3.1464143705537,326.430120451486,84.2692266717972,42.0208934651097,-0,0.388151868226342
1155,5,0.000332960560909432,3.14877487680673,331.429656301577,84.2012750052827,42.7347623282227,-0,0.27828282632083
1160,5,-0.000143937607225757,3.14924743419093,336.429391928558,84.1500857948221,43.0097102798298,-0,0.0364583072510234
1165,5,-0.000439838780309378,3.1477879932221,341.429157702462,84.1020588191506,42.9253922374358,-0,-0.0768736398929692
1170,5,-0.000529210618390103,3.14536536972535,346.428410989006,84.016562357039,42.5764713237925,-0,-0.110970010383193
1175,5,-0.000437432875994159,3.14294876098939,351.427207812691,83.9068958285456,41.9585133267073,-0,-0.0831845398641739
